id,survey_type,province,city,county,gender,birth,nationality,religion,religion_freq,edu,edu_status,edu_yr,income,political,join_party,floor_area,property,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,weekday,year,quarter,hour,month,hour_cut,survey_age
2915,2,29,83,126,1,1988,1,1,1,6,2.0,-1.0,0,2,0,100.0,256,168,120,4,4,5,1,1.0,3,3,1,2,4,1,3,4,4,4,4,4,3,2,4,4,4,1,3,4,2,3.0,2.0,1,2,5,2,5,3,2,-1.0,-1.0,-1.0,-1.0,1,1,2,2,24000.0,7,3,1,2,2,1,1,2.0,3,2011.0,1988.0,2011.0,6.0,2.0,1.0,0.0,4.0,-1.0,-1.0,1964,4,1,-8,1966,3,1,2,3,2,4,4,50000.0,4,4,4,3,5,3,2,4,3,3,3,3,1,5,60,50.0,60,60,30.0,50,50,20,60,2,2015,3,19,7,5,27
2916,2,19,57,92,1,1958,1,1,1,3,4.0,-2.0,20000,1,0,110.0,2,165,110,4,4,4,2,1.0,1,1,1,4,1,1,1,5,4,5,5,4,4,5,4,5,5,5,3,4,1,2.0,6.0,1,4,4,4,6,4,1,3.0,42.0,1.0,3.0,1,1,2,2,70000.0,3,2,1,2,2,1,0,0.0,3,1987.0,1963.0,1987.0,1.0,1.0,2.0,10000.0,4.0,-1.0,-1.0,-2,1,-8,2,-2,1,-8,2,3,2,4,3,36000.0,5,5,5,5,5,5,4,5,-8,-8,-8,-8,5,5,100,100.0,90,100,100.0,100,100,100,100,4,2015,3,15,7,4,57
2917,1,27,77,117,2,1949,1,1,1,9,4.0,1989.0,21600,1,0,74.0,8,155,102,2,4,4,5,2.0,1,1,4,5,1,1,1,5,4,5,5,4,4,5,5,5,5,5,3,3,1,6.0,7.0,2,3,2,1,2,1,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,45600.0,2,2,1,1,2,2,0,0.0,3,1972.0,1946.0,1972.0,11.0,4.0,5.0,24000.0,5.0,-1.0,-1.0,1928,14,-8,1,1924,1,1,15,3,1,5,4,48000.0,5,5,5,5,5,5,4,5,5,5,5,5,4,3,50,60.0,50,70,70.0,70,30,80,65,3,2015,3,9,7,2,66
2918,1,4,7,20,2,1942,1,1,1,4,4.0,1958.0,42000,1,0,63.4,2,153,100,1,2,4,5,1.0,4,1,4,4,1,1,1,4,3,3,5,4,5,3,1,5,5,5,4,5,3,5.0,6.0,1,4,5,2,7,3,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,42000.0,1,3,1,2,2,1,1,0.0,7,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2,-8,1,1,-2,-8,1,16,3,1,3,2,57000.0,4,4,4,4,4,4,2,4,2,2,2,4,2,3,100,100.0,100,100,100.0,100,100,100,100,3,2015,4,9,10,2,73
2919,2,5,10,26,1,1976,1,1,1,6,4.0,1988.0,100000,1,0,150.0,2,170,150,4,5,5,1,1.0,2,2,3,5,3,2,1,4,4,2,5,5,2,4,5,5,5,2,5,2,2,3.0,3.0,2,4,3,2,4,2,3,-1.0,-1.0,-1.0,-1.0,1,1,2,2,100000.0,3,3,1,1,2,1,0,1.0,3,2004.0,1978.0,2004.0,6.0,1.0,1.0,-1.0,3.0,-1.0,-1.0,1947,3,1,2,1949,1,1,15,2,2,5,3,200000.0,4,4,3,3,5,5,4,3,2,3,-8,-8,1,5,60,70.0,80,60,60.0,60,60,70,70,6,2015,3,8,8,2,39
2920,2,30,85,128,1,1941,1,0,1,7,4.0,1967.0,10000,1,0,240.0,6,165,160,2,2,4,1,1.0,1,1,1,4,1,1,1,5,3,5,5,4,5,5,5,5,5,5,1,4,1,-1.0,-1.0,1,4,10,5,10,2,1,2.0,52.0,1.0,4.0,1,1,2,2,20000.0,2,3,1,2,2,1,2,0.0,3,1963.0,1946.0,1963.0,3.0,1.0,1.0,10000.0,1.0,2.0,1.0,-2,3,1,2,-2,1,1,2,2,1,3,2,20000.0,5,5,5,5,5,-8,2,2,4,-8,-8,-8,1,5,80,100.0,60,20,20.0,80,80,80,50,6,2015,4,17,10,4,74
2921,1,13,35,65,1,1948,6,1,1,3,4.0,-2.0,800,1,0,120.0,2,170,100,2,3,3,1,1.0,1,1,1,4,1,1,1,5,3,5,5,5,4,5,5,5,5,5,2,3,1,5.0,6.0,1,3,5,4,5,4,3,-1.0,-1.0,-1.0,-1.0,1,1,2,2,48000.0,5,3,1,2,2,2,3,0.0,3,-1.0,1948.0,-1.0,-8.0,1.0,1.0,0.0,4.0,-1.0,-1.0,-2,-8,1,2,-2,1,1,2,2,2,5,2,9200.0,3,3,3,3,3,3,3,3,3,3,3,3,3,5,60,50.0,50,60,60.0,50,50,70,70,2,2015,3,12,9,3,67
2922,1,27,79,119,2,1955,1,1,1,1,-1.0,-1.0,12000,1,0,32.0,4,150,130,3,5,5,2,1.0,2,2,1,3,1,1,2,5,3,4,5,4,1,3,3,5,5,5,3,4,1,1.0,1.0,1,2,2,2,2,2,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,26400.0,2,2,1,2,2,1,0,0.0,3,-2.0,1948.0,-2.0,6.0,1.0,2.0,14400.0,5.0,-1.0,-1.0,-2,1,1,2,-2,1,1,2,3,3,3,3,24000.0,5,3,2,2,5,3,3,3,2,5,2,2,1,4,70,60.0,60,70,70.0,50,50,60,60,3,2015,3,14,7,4,60
2923,1,26,76,116,2,1974,8,1,1,4,4.0,1980.0,22000,1,0,60.0,256,156,110,4,4,4,1,2.0,1,1,1,5,5,1,3,3,3,5,5,4,4,4,5,5,5,1,4,3,1,4.0,3.0,2,2,5,4,5,3,1,3.0,20.0,1.0,3.0,1,2,2,2,55000.0,2,2,1,2,2,0,2,0.0,3,1994.0,1967.0,1994.0,4.0,1.0,1.0,30000.0,1.0,5.0,1.0,1945,3,1,2,1947,3,1,2,3,1,4,2,70000.0,4,4,3,3,4,4,3,4,4,5,5,5,3,5,90,90.0,80,70,80.0,80,80,80,80,5,2015,4,12,10,3,41
2924,1,9,20,42,1,1943,1,1,1,12,4.0,1969.0,36000,4,1,180.0,8,160,110,3,2,3,2,3.0,3,3,1,4,1,1,1,5,4,3,5,4,4,2,4,5,5,5,2,4,2,5.0,5.0,1,4,4,4,4,3,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,60000.0,5,3,1,2,2,1,0,0.0,3,1968.0,1943.0,1968.0,3.0,1.0,1.0,800.0,6.0,-1.0,-1.0,1915,2,1,1,1917,1,1,2,2,2,4,3,60000.0,3,3,3,3,3,3,3,3,3,3,-8,3,1,4,60,60.0,60,60,60.0,60,50,70,60,4,2015,3,10,7,2,72
2925,1,26,74,114,2,1970,1,1,1,1,-1.0,-1.0,-3,1,0,60.0,4,155,95,4,4,4,1,1.0,1,1,1,5,2,2,1,5,3,5,5,4,4,4,5,5,5,5,4,2,1,2.0,5.0,3,2,4,1,2,2,1,2.0,-2.0,-8.0,4.0,1,1,2,2,40000.0,3,3,2,1,2,0,1,0.0,3,1995.0,1965.0,1995.0,9.0,1.0,1.0,20000.0,1.0,2.0,1.0,-2,-8,1,2,-2,-8,1,2,2,2,3,2,-2.0,2,2,2,2,4,3,2,4,2,2,2,2,1,4,80,60.0,40,50,60.0,60,60,70,60,6,2015,3,15,8,4,45
2926,2,30,85,128,1,1979,1,1,2,4,2.0,1992.0,50000,1,0,600.0,2,180,140,4,5,2,1,1.0,3,1,4,5,3,1,1,5,3,2,4,4,3,5,5,5,5,3,4,5,1,2.0,2.0,1,2,5,4,6,4,1,5.0,13.0,1.0,3.0,1,2,2,2,50000.0,4,3,1,1,2,1,1,2.0,3,2001.0,1980.0,2001.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,1955,4,4,11,1955,1,1,2,2,1,4,3,100000.0,4,2,5,5,5,4,2,5,2,3,3,3,1,5,80,85.0,80,80,40.0,70,60,90,85,5,2015,4,20,10,5,36
2927,2,9,22,44,2,1981,1,1,1,1,-1.0,-1.0,0,1,0,150.0,4,160,140,5,4,3,1,1.0,3,2,3,5,4,1,2,5,3,3,5,3,5,5,5,5,4,2,5,4,1,1.0,7.0,1,2,5,8,8,5,3,-1.0,-1.0,-1.0,-1.0,1,1,1,1,50000.0,3,3,1,1,2,2,0,2.0,3,2005.0,1981.0,2005.0,4.0,1.0,1.0,50000.0,1.0,5.0,2.0,-2,4,1,9,-2,3,1,2,2,3,4,2,30000.0,3,3,4,4,4,4,4,-8,4,2,-8,2,2,5,50,50.0,20,20,20.0,10,50,20,10,5,2015,3,8,7,2,34
2928,2,23,69,109,2,1962,1,0,3,3,4.0,1981.0,4000,1,0,50.0,6,168,118,2,5,3,1,1.0,1,1,1,5,1,1,1,4,5,5,5,4,5,2,1,5,5,5,3,5,1,3.0,7.0,2,5,5,1,3,2,3,-1.0,-1.0,-1.0,-1.0,1,1,2,2,5000.0,2,4,1,2,2,1,2,0.0,3,1980.0,1952.0,1980.0,1.0,1.0,1.0,1000.0,3.0,-1.0,-1.0,1938,12,4,4,1942,1,1,2,1,1,1,2,10000.0,5,5,5,5,5,5,2,4,5,3,1,3,1,5,70,80.0,80,60,50.0,30,70,0,60,4,2015,3,11,9,2,53
2929,2,15,42,73,1,1951,1,1,1,3,2.0,-1.0,-1,1,0,115.0,2,170,122,5,4,4,1,1.0,3,3,3,5,1,2,1,5,3,4,5,4,4,3,1,5,4,5,2,3,1,3.0,3.0,1,2,7,3,8,2,2,-1.0,-1.0,-1.0,-1.0,1,2,2,2,10000.0,2,3,1,2,2,1,1,0.0,3,1977.0,1954.0,1977.0,3.0,1.0,1.0,5000.0,4.0,-1.0,-1.0,1921,2,1,2,1919,1,1,2,2,2,4,-8,-2.0,4,4,3,3,5,5,3,-8,-8,-8,-8,-8,-8,5,30,40.0,50,40,30.0,40,50,60,70,6,2015,3,9,7,2,64
2930,1,7,18,36,2,1954,1,1,1,4,4.0,1970.0,50000,1,0,45.0,2,160,120,3,3,3,5,1.0,4,1,3,4,1,1,2,4,3,1,5,4,4,5,3,5,5,5,2,3,3,7.0,5.0,6,4,4,5,4,3,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,110000.0,2,4,1,2,2,0,1,0.0,7,1980.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2,1,1,9,-2,1,1,15,2,2,4,2,50000.0,4,3,3,3,4,4,4,4,3,4,3,3,3,3,80,70.0,70,70,70.0,70,70,70,70,0,2015,3,13,8,3,61
2931,1,31,87,132,1,1977,1,1,1,10,4.0,-2.0,50000,4,1,67.0,6,175,130,5,4,4,2,1.0,3,3,2,5,5,2,1,4,4,2,4,4,2,4,2,5,5,1,3,3,2,2.0,2.0,1,4,6,6,6,6,1,1.0,-2.0,1.0,4.0,1,2,1,2,80000.0,3,3,1,1,2,0,1,1.0,3,2003.0,1982.0,2003.0,10.0,1.0,2.0,20000.0,1.0,3.0,1.0,1949,7,4,11,1951,6,1,1,2,2,4,2,-2.0,4,3,3,3,5,4,3,4,3,3,3,3,3,3,60,60.0,50,60,50.0,60,60,60,60,0,2015,3,16,8,4,38
2932,1,21,64,100,2,1955,1,1,1,4,4.0,1972.0,14000,4,1,50.0,6,160,105,4,2,2,2,1.0,2,2,2,4,1,2,1,4,3,4,5,4,4,2,4,5,5,5,2,3,2,3.0,6.0,2,2,4,4,4,4,1,2.0,33.0,2.0,4.0,1,1,2,2,25000.0,2,2,1,2,2,1,0,0.0,3,1982.0,1955.0,1982.0,4.0,4.0,2.0,13000.0,5.0,-1.0,-1.0,1932,1,1,1,1940,1,1,1,3,2,3,4,50000.0,4,3,-8,-8,5,4,3,4,3,-8,-8,-8,3,3,70,55.0,55,60,70.0,60,75,70,75,4,2015,3,11,7,2,60
2933,2,13,35,65,1,1954,6,1,1,4,4.0,1975.0,2200,1,0,112.0,2,160,100,3,4,4,1,1.0,1,1,1,5,1,1,1,5,4,5,5,4,5,3,5,5,5,5,4,4,1,1.0,5.0,1,4,4,3,5,1,2,-1.0,-1.0,-1.0,-1.0,1,1,2,2,3000.0,5,2,1,2,2,0,1,0.0,3,-2.0,1956.0,-2.0,1.0,1.0,1.0,1000.0,3.0,-1.0,-1.0,-2,1,1,2,-2,1,1,2,3,2,3,3,-2.0,3,3,3,3,4,3,3,3,3,-8,-8,-8,2,5,65,75.0,75,75,75.0,75,75,75,75,0,2015,3,17,9,4,61
2934,1,22,65,103,2,1966,1,0,3,3,2.0,-1.0,30000,1,0,80.0,256,160,112,4,4,2,1,2.0,1,1,1,2,1,2,2,5,3,5,5,4,3,3,5,5,5,5,4,3,1,2.0,2.0,4,3,5,7,7,3,5,-1.0,-1.0,-1.0,-1.0,1,2,2,2,60000.0,3,3,1,2,2,0,1,0.0,3,1987.0,1965.0,1987.0,11.0,1.0,2.0,30000.0,1.0,3.0,1.0,1939,2,1,2,1943,1,1,2,3,2,3,2,50000.0,4,4,4,4,5,5,4,4,3,5,5,5,3,5,70,75.0,75,75,60.0,60,70,70,65,5,2015,3,14,7,4,49
2935,2,26,74,114,2,1959,1,1,1,1,-1.0,-1.0,2000,1,0,100.0,6,150,100,4,4,4,1,1.0,1,1,1,4,1,1,1,5,4,5,5,4,4,5,4,5,5,5,4,2,1,1.0,5.0,1,3,4,3,6,2,3,-1.0,-1.0,-1.0,-1.0,1,1,-1,-1,4000.0,3,2,2,2,2,1,2,0.0,3,1982.0,1957.0,1982.0,1.0,1.0,1.0,2000.0,3.0,-1.0,-1.0,-2,1,1,2,-2,1,1,2,3,1,4,2,-2.0,5,4,4,4,5,3,3,3,4,3,3,2,2,5,80,70.0,40,50,60.0,60,60,60,50,4,2015,3,13,8,3,56
2936,2,5,8,24,1,1991,1,1,1,7,4.0,2012.0,10000,1,0,117.0,16,175,134,5,5,4,1,1.0,1,1,1,5,5,1,1,5,4,5,5,3,4,3,3,5,5,1,4,2,2,4.0,3.0,3,4,5,5,-8,5,1,8.0,5.0,2.0,4.0,1,2,2,2,60000.0,5,3,1,1,2,0,1,1.0,3,2013.0,1993.0,2013.0,3.0,1.0,1.0,0.0,5.0,-1.0,-1.0,1964,4,1,2,1966,1,1,2,2,2,3,2,60000.0,3,-8,2,2,5,-8,2,2,2,-8,-8,-8,1,4,50,70.0,10,20,30.0,10,30,20,40,2,2015,3,9,8,2,24
2937,1,10,26,48,1,1970,1,0,7,12,4.0,1990.0,100000,1,0,100.0,2,176,161,4,4,4,2,1.0,3,3,3,4,5,2,3,4,3,2,4,3,3,2,2,2,3,1,4,4,4,3.0,3.0,2,3,4,5,6,3,1,3.0,-2.0,1.0,3.0,1,1,1,1,240000.0,4,4,1,2,4,1,0,1.0,3,1997.0,1971.0,1997.0,10.0,1.0,2.0,120000.0,1.0,3.0,1.0,-2,-8,1,1,1943,7,4,1,2,2,3,2,250000.0,4,4,3,4,3,4,3,4,3,3,4,3,3,4,90,80.0,90,88,89.0,90,90,90,85,1,2015,3,14,7,4,45
2938,1,15,40,71,2,1976,1,1,1,3,4.0,1989.0,70000,1,0,56.0,256,156,100,5,2,3,1,3.0,1,1,1,4,5,4,2,5,3,5,5,3,2,5,5,5,5,1,4,3,1,6.0,5.0,3,4,4,3,5,2,1,3.0,15.0,1.0,3.0,2,1,2,2,70000.0,1,3,0,1,2,2,0,2.0,6,1999.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1953,1,1,2,1954,1,1,2,2,1,4,2,100000.0,4,4,4,3,4,4,2,4,3,3,3,3,1,1,70,70.0,60,70,65.0,70,70,70,75,4,2015,3,18,7,5,39
2939,1,17,48,80,1,1979,1,1,1,6,4.0,1999.0,30000,4,1,83.0,4,174,115,5,5,5,2,2.0,1,1,1,2,5,1,3,5,3,5,5,4,3,1,5,5,5,1,4,3,1,4.0,3.0,1,2,5,3,7,2,1,3.0,12.0,1.0,3.0,1,2,2,2,50000.0,3,3,1,1,2,1,1,2.0,3,2005.0,1981.0,2005.0,9.0,1.0,2.0,200000.0,1.0,3.0,1.0,1954,6,4,2,1956,3,1,2,2,2,4,2,50000.0,4,4,4,3,4,5,4,4,3,3,-8,4,1,4,90,70.0,80,90,90.0,70,70,80,90,0,2015,3,14,7,4,36
2940,1,15,41,72,1,1969,1,1,1,4,4.0,1986.0,10000,1,0,105.0,2,168,130,5,5,2,2,1.0,3,4,1,4,4,4,1,4,3,2,4,3,3,2,4,4,5,1,3,4,5,4.0,4.0,6,1,1,1,1,1,5,-1.0,-1.0,-1.0,-1.0,1,2,2,2,15000.0,3,3,1,1,2,1,1,1.0,4,1991.0,1983.0,2004.0,10.0,2.0,2.0,5000.0,1.0,3.0,1.0,-2,3,1,1,-2,3,1,1,2,3,4,3,100000.0,2,2,4,4,4,4,2,4,1,1,1,1,1,3,40,30.0,10,50,40.0,30,30,40,50,4,2015,3,9,7,2,46
2941,2,17,49,82,1,1982,1,1,1,3,4.0,-2.0,25000,1,0,100.0,18,165,150,4,3,3,1,1.0,1,1,1,4,1,1,2,5,2,5,5,5,4,5,5,5,5,5,3,4,1,2.0,6.0,1,3,5,-8,7,-8,1,3.0,15.0,2.0,3.0,1,1,2,2,25000.0,4,3,1,2,2,0,2,2.0,3,-2.0,1982.0,-2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,-2,-8,1,2,-2,-8,1,2,3,2,4,3,40000.0,5,4,4,4,5,4,3,4,3,-8,-8,-8,1,5,70,60.0,50,70,60.0,50,60,70,70,1,2015,3,9,7,2,33
2942,2,31,87,131,1,1977,3,1,1,4,2.0,-1.0,20000,1,0,88.0,2,175,145,4,4,4,1,1.0,2,2,3,4,1,1,1,4,4,5,5,4,4,2,4,4,4,5,2,4,2,4.0,6.0,3,3,5,5,5,5,2,-1.0,-1.0,-1.0,-1.0,1,1,2,2,70000.0,5,2,1,2,2,0,2,2.0,4,2000.0,1975.0,2007.0,3.0,1.0,1.0,20000.0,4.0,-1.0,-1.0,1948,4,1,2,1951,4,1,2,2,2,4,3,30000.0,4,2,4,2,4,4,2,4,4,4,2,4,1,5,90,80.0,80,70,80.0,80,70,80,70,6,2015,3,8,8,2,38
2943,2,29,83,126,2,1994,1,1,1,4,4.0,2010.0,0,2,0,130.0,32,154,80,5,5,5,4,1.0,1,4,1,5,5,1,2,5,5,2,5,4,4,2,4,5,3,1,4,4,2,1.0,5.0,1,2,7,4,3,5,6,-1.0,-1.0,-1.0,-1.0,1,1,2,2,20000.0,2,2,1,2,2,0,1,1.0,3,2014.0,1989.0,2014.0,4.0,2.0,1.0,20000.0,1.0,3.0,1.0,1949,3,4,8,1954,1,2,2,3,1,4,2,60000.0,3,3,3,3,5,4,3,4,3,-8,-8,-8,3,3,60,60.0,60,60,60.0,60,60,60,60,1,2015,3,13,7,3,21
2944,2,22,65,104,2,1943,1,1,1,2,-1.0,-1.0,0,1,0,80.0,2,160,100,3,5,4,1,1.0,1,1,3,5,1,1,1,5,5,5,5,4,1,5,1,5,3,5,5,4,1,1.0,1.0,2,4,5,2,5,1,4,-1.0,-1.0,-1.0,-1.0,1,2,2,2,-2.0,2,3,1,2,2,2,1,0.0,3,1961.0,1938.0,1961.0,2.0,4.0,1.0,0.0,4.0,-1.0,-1.0,-2,1,1,2,-2,1,1,2,2,2,4,-8,20000.0,5,5,5,5,5,4,3,3,4,4,-8,4,1,5,100,90.0,100,100,70.0,100,100,90,80,4,2015,3,8,7,2,72
2945,2,10,27,50,1,1994,1,1,1,4,4.0,2009.0,30000,1,0,120.0,16,176,130,4,4,4,1,1.0,1,2,1,3,4,1,3,5,4,4,4,4,4,3,5,5,5,2,1,2,2,-1.0,-1.0,1,3,4,3,6,3,5,-1.0,-1.0,-1.0,-1.0,1,2,2,2,60000.0,4,3,1,2,2,0,0,0.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1968,4,1,2,1970,3,1,2,2,1,4,2,60000.0,4,4,4,4,5,4,4,5,4,4,-8,4,4,3,80,70.0,80,90,60.0,80,80,70,80,3,2015,3,14,7,4,21
2946,1,31,88,133,1,1970,1,1,1,12,4.0,2001.0,30000,4,1,90.0,6,170,160,3,4,3,2,1.0,1,2,1,5,2,1,2,5,4,4,5,3,2,2,3,5,5,4,3,4,3,7.0,2.0,6,4,5,3,8,2,1,3.0,27.0,1.0,2.0,1,1,2,2,50000.0,3,3,1,2,2,1,0,0.0,3,1992.0,1971.0,1992.0,7.0,2.0,2.0,20000.0,1.0,3.0,1.0,1949,4,1,2,1949,3,1,2,2,2,5,3,100000.0,4,3,3,3,4,4,3,4,4,-8,-8,-8,2,3,60,60.0,60,60,60.0,60,60,60,60,2,2015,3,18,8,5,45
2947,1,27,77,117,1,1969,2,1,1,4,4.0,1984.0,1000000,1,0,120.0,2,170,140,5,4,4,2,1.0,2,2,2,3,4,2,3,4,2,3,4,3,2,3,3,5,5,2,5,3,1,1.0,1.0,1,1,6,7,5,1,1,2.0,26.0,2.0,1.0,1,1,1,1,1500000.0,2,5,1,1,140,1,0,0.0,3,1994.0,1970.0,1994.0,12.0,1.0,2.0,500000.0,1.0,6.0,2.0,1942,6,1,2,1943,6,1,1,1,3,3,2,10000000.0,4,4,-8,-8,4,4,3,4,2,2,2,2,2,5,55,70.0,30,60,40.0,70,60,60,70,6,2015,3,10,7,2,46
2948,1,9,20,42,2,1975,1,1,1,5,4.0,1991.0,0,1,0,300.0,32,155,101,2,3,3,4,1.0,2,1,1,4,3,1,2,5,3,5,5,4,4,4,4,5,5,3,2,2,2,3.0,7.0,1,3,5,3,6,3,5,-1.0,-1.0,-1.0,-1.0,1,2,2,2,50000.0,5,3,1,2,2,0,1,1.0,3,1998.0,1974.0,1998.0,4.0,1.0,4.0,30000.0,1.0,5.0,1.0,1947,3,1,2,1948,3,1,2,2,1,3,2,10000.0,4,3,5,4,5,4,3,4,4,3,-8,5,3,4,70,80.0,55,60,55.0,65,75,70,80,1,2015,3,11,7,2,40
2949,1,15,40,71,1,1952,1,1,1,7,4.0,1975.0,26000,4,1,33.0,2,170,120,2,4,4,4,1.0,3,1,4,4,1,1,2,5,4,2,3,4,4,3,4,5,5,5,2,3,1,1.0,4.0,1,2,3,4,2,6,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,50000.0,2,2,1,2,2,0,1,0.0,3,1978.0,1953.0,1978.0,3.0,1.0,5.0,25000.0,5.0,-1.0,-1.0,-2,3,4,3,-2,2,1,2,3,3,3,2,30000.0,2,2,-8,3,5,5,3,5,5,4,-8,4,5,4,75,70.0,70,70,70.0,70,65,80,75,4,2015,3,16,7,4,63
2950,2,19,57,93,1,1946,1,1,1,3,3.0,-1.0,20000,4,1,150.0,4,175,150,2,3,3,4,1.0,1,1,1,4,1,1,1,5,5,4,5,4,5,5,2,5,5,5,2,2,2,6.0,5.0,1,4,8,5,8,4,5,-1.0,-1.0,-1.0,-1.0,1,1,2,2,-2.0,6,3,1,2,2,0,1,0.0,3,1972.0,1949.0,1972.0,3.0,1.0,2.0,0.0,4.0,-1.0,-1.0,-2,1,1,2,-2,1,1,2,1,2,4,2,-2.0,4,5,3,3,5,3,3,4,3,4,4,2,3,5,60,70.0,60,60,60.0,60,50,60,60,6,2015,3,14,7,4,69
2951,1,18,53,87,2,1977,1,1,1,9,-8.0,2004.0,51000,1,0,100.0,6,163,120,4,4,4,2,2.0,2,2,1,5,5,1,1,3,2,4,4,4,4,2,2,5,5,1,2,4,2,7.0,5.0,2,2,8,7,9,5,1,3.0,18.0,1.0,3.0,1,2,2,2,120000.0,4,4,2,1,2,1,1,2.0,3,1999.0,1976.0,1999.0,11.0,4.0,2.0,60000.0,1.0,3.0,1.0,-2,4,4,1,1953,7,1,1,1,1,4,3,70000.0,3,2,-8,-8,4,4,3,3,3,3,3,3,3,2,80,90.0,90,80,80.0,70,60,90,90,3,2015,3,16,7,4,38
2952,1,4,7,15,2,1974,1,1,1,4,4.0,1990.0,-3,1,0,10.0,256,162,125,5,5,5,1,3.0,2,2,3,2,5,5,3,5,4,4,4,4,4,3,4,5,4,1,2,2,3,3.0,3.0,1,2,2,2,3,2,1,3.0,-2.0,1.0,3.0,1,1,2,2,-3.0,2,2,1,2,2,0,2,1.0,3,1998.0,1974.0,1998.0,4.0,1.0,1.0,-3.0,1.0,5.0,1.0,1951,3,1,2,1953,3,1,2,3,2,4,3,-2.0,3,3,3,3,5,3,2,3,2,3,-8,-8,1,2,60,50.0,20,20,20.0,20,20,60,60,6,2015,4,15,10,4,41
2953,1,18,53,87,1,1992,1,1,1,4,4.0,2008.0,20000,1,0,146.0,2,168,140,5,5,5,1,1.0,1,2,3,4,5,3,1,3,5,3,5,3,3,1,1,4,5,1,2,4,4,3.0,2.0,2,4,6,2,9,2,1,4.0,7.0,1.0,3.0,1,2,2,2,30000.0,3,3,1,2,2,0,0,0.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1964,4,4,9,1967,4,1,2,2,1,3,2,50000.0,4,4,4,4,5,4,4,4,3,4,4,4,2,3,90,80.0,40,90,70.0,90,90,80,80,3,2015,3,12,7,3,23
2954,1,24,70,110,1,1955,1,1,1,3,2.0,-1.0,0,1,0,300.0,2,170,140,2,2,3,1,3.0,2,2,3,5,2,3,1,4,4,4,4,4,4,4,4,4,5,4,2,3,2,2.0,2.0,1,3,-8,3,6,2,1,-8.0,32.0,-8.0,-8.0,1,1,2,2,-1.0,3,2,1,1,2,2,1,0.0,3,1982.0,1963.0,1982.0,3.0,1.0,1.0,0.0,6.0,-1.0,-1.0,-2,1,1,1,-2,1,1,2,3,3,3,3,-3.0,4,3,3,3,5,4,3,3,3,2,2,2,2,4,80,80.0,90,80,70.0,80,80,85,90,1,2015,3,10,8,2,60
2955,2,10,24,46,2,1973,1,1,1,3,4.0,1986.0,10000,1,0,180.0,4,163,140,5,4,3,1,1.0,1,1,1,3,3,3,3,5,5,5,5,4,4,5,4,5,5,5,3,3,1,6.0,6.0,1,4,5,3,8,3,1,5.0,5.0,1.0,3.0,1,1,2,2,40000.0,3,3,1,1,2,1,0,1.0,3,1998.0,1976.0,1998.0,3.0,1.0,1.0,30000.0,1.0,3.0,1.0,1945,4,1,2,1942,1,1,2,2,2,4,2,30000.0,4,4,4,4,5,4,4,4,4,4,4,4,1,4,75,80.0,78,80,80.0,80,78,80,80,5,2015,3,18,7,5,42
